Age,Occupation,Risk Tolerance,Investment Goals,Income Level,Address,Account Balance,Deposits,Withdrawals,Transfers,International Transfers,Investments,Loan Amount,Loan Purpose,Employment Status,Loan Term (Months),Interest Rate,Loan Status,Transaction Description
75,Artist,Low,Speculation,$48777.90,"973 Estrada River
South George, IL 61596",$96838.44,$13572.36,$14010.24,$12001.37,$843.58,$6990.32,$18660.22,Debt Consolidation,Employed,48,9.91%,pending,"Payment of $2312.33 at Kirby, Patel and Rodgers"
55,Retiree,Medium,Income Generation,$79685.22,"5133 Pearson Hill Suite 653
Heatherfort, CO 10472",$100000.00,$26927.25,$29938.09,$8591.90,$525.49,$6106.05,$50000.00,Small Business,Unemployed,36,13.23%,pending,"Unusual transaction at Holland, Adams and Fritz for $2005.95"
50,Teacher,High,Wealth Preservation,$79642.74,"3565 Brandon Island Suite 097
Lake Charlesbury, LA 84237",$100000.00,$47527.94,$20277.18,$9533.68,$2542.30,$20108.02,$50000.00,Small Business,Unemployed,24,13.75%,rejected,"$4726.23 debited for Thomas, Weeks and Phillips purchase"
44,Teacher,Low,Growth,$71423.26,"518 Robbins Highway Apt. 193
North Jennifermouth, SD 34604",$69271.93,$23958.25,$12616.37,$15176.88,$3385.49,$5820.51,$45267.81,Debt Consolidation,Employed,24,11.89%,rejected,"Purchase at Goodwin, Garcia and Rogers for $541.41 on 2024-07-19"
69,Teacher,High,Growth,$76081.96,"00446 Elijah Club
Browningland, PR 70947",$8235.63,$2937.37,$1657.03,$871.39,$36.38,$2746.74,$41476.18,Small Business,Self-Employed,48,10.93%,approved,$3086.38 spent at Salazar and Sons on 2024-02-25
24,Doctor,Low,Speculation,$91941.80,"6601 Horne Ville
North Stephen, AK 88151",$28911.20,$6473.29,$5427.01,$4418.87,$1010.90,$1775.84,$50000.00,Small Business,Retired,12,14.58%,pending,$4844.10 debited for Torres Ltd purchase
73,Teacher,Low,Income Generation,$45627.28,"611 Johnson Lights Apt. 703
Lake Carrieport, AZ 78868",$13803.33,$1633.94,$4037.84,$1088.65,$232.03,$912.03,$50000.00,Home Improvement,Self-Employed,36,11.01%,approved,Fraudulent activity detected at Moore Group for $326.43
39,Retiree,Medium,Speculation,$74194.86,"30154 Steven Turnpike
West Joshuaport, CA 56934",$26463.73,$12556.81,$4307.69,$5194.03,$1534.67,$2607.53,$42328.16,Home Improvement,Self-Employed,48,9.24%,approved,"$3873.80 debited for Sanders, Scott and Hamilton purchase"
78,Engineer,High,Wealth Preservation,$50479.30,"452 Kim Stravenue
West Jared, AZ 53851",$13317.40,$4211.68,$2346.17,$2821.16,$3.31,$2183.98,$50000.00,Small Business,Employed,60,12.86%,rejected,Payment of $2437.30 at Whitehead-Ochoa
84,Retiree,High,Wealth Preservation,$58640.56,"361 Jack Ways Apt. 957
Lake Heidifort, RI 77833",$72885.49,$22756.01,$21086.71,$10629.87,$455.15,$22369.28,$27212.74,Debt Consolidation,Unemployed,12,8.35%,approved,Purchase at Brown Group for $4984.73 on 2024-03-23
51,Artist,Low,Speculation,$54360.16,"PSC 4331, Box 3923
APO AE 11297",$24395.92,$7691.68,$5158.36,$4156.37,$180.63,$3829.59,$50000.00,Debt Consolidation,Self-Employed,24,13.06%,rejected,$353.35 spent at Gonzalez-Petty on 2024-07-27
53,Teacher,High,Wealth Preservation,$71840.05,"688 Rebecca Bridge Suite 745
Lake Terri, MA 35633",$94302.60,$28447.59,$11710.05,$16394.00,$840.63,$32620.76,$50000.00,Home Improvement,Retired,60,14.03%,rejected,$2178.74 debited for Perez PLC purchase
60,Engineer,Medium,Growth,$47649.79,"840 Sanders Orchard Apt. 159
Gloriaborough, VA 04292",$94400.83,$27493.93,$20428.22,$10403.07,$1769.99,$17067.74,$6087.60,Debt Consolidation,Employed,60,8.02%,rejected,"$2379.82 spent at Harris, Russell and Herrera on 2024-03-23"
27,Teacher,Medium,Growth,$56306.58,"17171 Ronnie Rue
Patrickburgh, FM 67030",$47787.85,$12681.78,$6247.25,$10199.70,$1146.48,$9541.57,$50000.00,Home Improvement,Unemployed,36,13.82%,pending,Large amount of $2344.01 spent at Steele Ltd
70,Artist,High,Income Generation,$67516.03,"930 Pollard Fort
Patrickton, WV 14201",$35837.63,$17478.14,$3958.75,$5772.03,$667.14,$10777.33,$43398.33,Home Improvement,Retired,48,13.56%,rejected,Payment of $4884.07 at Johnson-Lopez
50,Retiree,High,Wealth Preservation,$79591.66,"70849 Sanchez Branch Apt. 196
New Darleneborough, VA 15494",$100000.00,$40445.62,$9924.96,$13286.58,$1424.25,$25141.66,$37365.31,Medical Expenses,Retired,60,10.52%,rejected,Suspicious purchase of $4266.90 at Wilson-Wade
85,Student,Medium,Growth,$28295.77,"PSC 2937, Box 3888
APO AA 93719",$12176.26,$1913.98,$3580.41,$2941.25,$627.07,$2104.62,$29626.98,Small Business,Employed,12,9.17%,approved,Purchase at Anderson-White for $4250.86 on 2024-05-29
43,Artist,Low,Wealth Preservation,$66616.56,"15047 Coleman Estate
Jenniferberg, VA 13881",$9300.57,$4580.95,$905.83,$1875.12,$239.74,$717.87,$50000.00,Small Business,Self-Employed,60,12.62%,rejected,"Transaction at Watson, Ewing and Tucker for $1643.53"
77,Engineer,Low,Income Generation,$56181.95,"USCGC Miller
FPO AE 24947",$91997.80,$13196.44,$10630.77,$10449.70,$2595.08,$6409.27,$36721.87,Home Improvement,Unemployed,48,8.34%,approved,$333.99 debited for Murphy Ltd purchase
64,Teacher,Low,Income Generation,$99192.49,"36061 Kristin Landing
Lake Angela, GU 78339",$100000.00,$30857.63,$25894.10,$17595.65,$1198.63,$5448.65,$50000.00,Small Business,Self-Employed,48,9.60%,approved,$2403.80 debited for Frazier-Wright purchase
61,Engineer,High,Wealth Preservation,$88941.51,"15488 Michael Way
West Michael, SD 98778",$100000.00,$12025.25,$21662.70,$6638.52,$1459.39,$5026.06,$50000.00,Debt Consolidation,Retired,60,9.29%,approved,Purchase at Frey Ltd for $1359.03 on 2024-01-03
74,Engineer,Low,Income Generation,$28121.71,"9044 Krueger Union
Jorgeberg, NJ 28981",$30728.08,$3248.45,$7514.49,$6653.32,$1126.29,$4666.54,$10534.40,Small Business,Retired,24,6.44%,approved,"$3939.19 debited for Barnett, Smith and Sullivan purchase"
52,Artist,Low,Growth,$110564.54,"4252 Eric Prairie Apt. 627
Geraldhaven, KY 18564",$100000.00,$45803.34,$19776.50,$11838.40,$2019.44,$13849.15,$50000.00,Small Business,Self-Employed,48,13.38%,pending,Transaction at King-Martin for $1296.53
35,Lawyer,High,Speculation,$104698.91,"1572 Miller Summit
West Hollyview, MN 18700",$100000.00,$46957.87,$27563.80,$8534.06,$1667.06,$22641.21,$50000.00,Auto Purchase,Unemployed,24,9.29%,approved,$2803.99 spent at Reese-Yoder on 2024-04-21
39,Retiree,Low,Income Generation,$52658.69,"9298 Maria Burgs
New Nicoleside, PR 70778",$25224.15,$8078.21,$7505.85,$2795.37,$241.53,$2290.33,$20612.83,Home Improvement,Retired,24,7.10%,approved,$1125.78 spent at Graham-Morales on 2024-03-21
26,Student,High,Wealth Preservation,$75347.91,"07306 Kristina Meadow
West Kevinport, AK 42994",$80806.06,$37599.91,$10385.04,$16642.34,$2535.55,$4957.91,$50000.00,Auto Purchase,Unemployed,48,13.06%,pending,Purchase at Mason Inc for $3409.72 on 2024-01-31
40,Retiree,Medium,Wealth Preservation,$40550.76,"Unit 4687 Box 2612
DPO AE 29966",$42855.50,$4670.07,$2539.71,$9057.61,$1308.92,$3747.99,$29946.28,Small Business,Employed,24,12.04%,pending,Purchase at Perez-Grant for $1657.35 on 2024-02-14
36,Artist,Low,Growth,$57000.25,"2319 Stacy Street Suite 154
West Lisa, NH 50689",$45280.68,$12455.61,$11792.15,$10754.47,$1914.46,$3834.92,$50000.00,Debt Consolidation,Retired,48,10.79%,approved,"Purchase at Porter, Thompson and Hensley for $3935.70 on 2024-06-09"
25,Teacher,Medium,Wealth Preservation,$-7406.07,"58993 Denise Locks
East Erin, UT 30584",$1000.00,$363.68,$209.30,$118.03,$27.52,$94.75,$5000.00,Small Business,Employed,48,9.01%,rejected,"Transaction at Bowen, Hudson and Nolan for $3426.62"
75,Engineer,High,Growth,$123100.16,"075 Esparza Roads Suite 226
Port Cynthia, RI 90666",$100000.00,$27264.37,$15459.07,$5789.51,$1637.68,$33202.70,$50000.00,Medical Expenses,Employed,60,10.91%,approved,Payment of $453.02 at Gardner Ltd
72,Artist,Low,Wealth Preservation,$93237.03,"178 Taylor Dale Suite 981
Crystalchester, AK 73604",$67571.81,$32828.85,$4842.87,$5885.24,$1445.60,$12579.43,$28298.93,Debt Consolidation,Self-Employed,48,7.52%,approved,"$73.06 debited for Peterson, Stafford and Jensen purchase"
24,Engineer,Low,Income Generation,$32734.80,"USNV Miller
FPO AA 34113",$10466.20,$5187.25,$718.57,$2555.43,$278.70,$906.79,$5000.00,Debt Consolidation,Retired,24,6.22%,approved,"$2886.59 debited for Scott, Edwards and Walker purchase"
61,Retiree,High,Income Generation,$86630.51,"8862 Reese Landing
Bruceville, SD 97474",$100000.00,$25459.14,$10880.08,$10963.18,$1134.32,$39793.62,$50000.00,Small Business,Retired,24,11.52%,approved,"Payment of $4619.62 at Johnson, Morris and Tucker"
21,Doctor,High,Wealth Preservation,$71106.39,"90486 Shannon Cliffs
South Jacob, OK 81050",$100000.00,$29070.78,$11616.09,$7839.13,$1169.46,$10817.62,$45680.51,Debt Consolidation,Employed,60,12.19%,pending,$3047.45 spent at Bruce LLC on 2024-04-22
41,Student,Medium,Wealth Preservation,$63168.62,"2244 Kristina Freeway
Lake Mikemouth, PW 33181",$78928.63,$12043.98,$23442.02,$10037.67,$1598.38,$6132.38,$50000.00,Auto Purchase,Employed,12,14.16%,rejected,$597.79 spent at Cobb and Sons on 2024-08-13
18,Artist,High,Speculation,$128564.64,"5477 Rodriguez Mills Apt. 665
East Jennifermouth, NM 00924",$100000.00,$32224.73,$7813.83,$11894.19,$2066.01,$24564.90,$50000.00,Medical Expenses,Unemployed,12,14.19%,rejected,Transaction at Walker-Sanchez for $1857.15
81,Engineer,Medium,Income Generation,$86608.45,"0072 Clark Stream Suite 154
Kevinmouth, VT 15437",$100000.00,$45551.80,$25502.50,$18579.25,$1782.75,$15309.22,$50000.00,Medical Expenses,Employed,48,9.78%,approved,"Purchase at Salazar, Cortez and Lopez for $659.28 on 2024-05-22"
63,Doctor,Low,Growth,$72209.06,"USNS Phillips
FPO AA 87980",$99061.16,$47932.11,$21010.62,$15641.68,$1344.55,$14914.36,$50000.00,Auto Purchase,Self-Employed,24,11.97%,pending,Transaction at Snyder-Perkins for $4220.40
77,Artist,Low,Speculation,$51520.09,"245 Mcguire Valley
Port Jessica, MN 60154",$76503.23,$11911.05,$13048.40,$13059.56,$1050.60,$10576.35,$50000.00,Home Improvement,Self-Employed,24,10.92%,approved,Groceries transaction of $1128.63 at Webb-Adams
82,Retiree,Medium,Growth,$74093.44,"758 Mark Falls
Vazquezland, NH 32830",$67662.83,$13925.29,$9019.62,$14616.34,$78.27,$12326.01,$50000.00,Small Business,Retired,48,11.15%,approved,"Suspicious purchase of $2686.85 at Richardson, Cook and Little"
21,Doctor,High,Speculation,$21620.55,"670 Anderson Parkway
Haydenburgh, MI 95686",$3406.53,$914.68,$747.53,$529.47,$28.49,$644.22,$8983.95,Home Improvement,Retired,36,8.91%,pending,"$3930.51 spent at Thomas, Davidson and James on 2024-03-30"
78,Retiree,Medium,Growth,$136519.38,"491 Timothy Manor Suite 293
Alexanderview, NM 77499",$100000.00,$26547.41,$24769.77,$24131.11,$1588.71,$16003.29,$50000.00,Debt Consolidation,Self-Employed,36,9.79%,approved,Fraudulent activity detected at Reed LLC for $1065.22
28,Teacher,High,Income Generation,$86744.23,"2076 Shaw Walk
North Helenside, FM 94336",$19192.65,$3923.48,$3957.65,$3995.47,$952.15,$6877.13,$50000.00,Auto Purchase,Retired,48,11.30%,approved,Transaction at Ray LLC for $1423.82
65,Doctor,Low,Growth,$101013.52,"31851 Jonathan Lodge Suite 172
Marytown, SD 90162",$100000.00,$39074.05,$22866.07,$13658.77,$1245.12,$17059.67,$50000.00,Small Business,Employed,48,13.44%,pending,"Transaction at Valdez, West and King for $2574.62"
66,Student,Medium,Wealth Preservation,$59733.23,"4349 Rivera Radial Suite 746
Samuelville, FL 51932",$63924.52,$17653.74,$11937.24,$12571.88,$3427.86,$8763.53,$37522.21,Debt Consolidation,Unemployed,48,12.54%,rejected,Unusual transaction at Velez LLC for $3140.48
62,Engineer,Medium,Income Generation,$31918.08,"124 Carol Estate Apt. 379
West Dianastad, DC 79077",$21517.86,$9096.18,$6386.30,$4529.25,$254.11,$4274.67,$32655.10,Small Business,Self-Employed,12,8.69%,approved,"Payment of $1917.21 at Rogers, Edwards and Rocha"
83,Lawyer,Medium,Growth,$68489.68,"6434 Deleon Mountains Apt. 542
Leahhaven, IN 37126",$56627.54,$26085.60,$12780.61,$7844.81,$1917.72,$7336.06,$24044.44,Home Improvement,Retired,24,11.56%,rejected,Payment of $1574.93 at Curtis-Kerr
27,Retiree,Low,Income Generation,$63823.88,"9983 Michael Groves
Kristenton, WA 52619",$100000.00,$43369.56,$13654.95,$13866.69,$361.40,$10266.52,$19544.35,Small Business,Retired,24,9.00%,rejected,Purchase at Phillips LLC for $2686.99 on 2024-07-01
35,Teacher,Low,Income Generation,$50745.29,"3746 Joshua Isle Apt. 653
Kathleenburgh, UT 69117",$46201.88,$15762.96,$12144.66,$10773.85,$1930.74,$5560.59,$42699.27,Debt Consolidation,Retired,60,12.67%,rejected,Transaction at Sweeney LLC for $4453.58
66,Teacher,Medium,Growth,$59207.13,"6637 Martinez Islands Apt. 264
New Allisonshire, PA 11108",$61127.52,$29127.49,$13867.14,$6447.83,$1294.61,$4420.31,$50000.00,Small Business,Self-Employed,12,11.32%,approved,"Fraudulent activity detected at Holloway, Becker and Sanchez for $395.08"
19,Engineer,Medium,Speculation,$66091.97,"061 Anderson Square
East Randallhaven, ME 37401",$74272.76,$25222.41,$3716.03,$3979.58,$1118.84,$4543.54,$14287.84,Debt Consolidation,Employed,12,7.61%,approved,$4689.12 spent at Soto-Bell on 2024-06-16
60,Retiree,Medium,Speculation,$83443.47,"PSC 6152, Box 7673
APO AP 59386",$70323.55,$11091.73,$6017.42,$3578.98,$11.65,$6326.56,$11135.48,Home Improvement,Employed,36,8.34%,pending,$4149.41 spent at Kelly-Blevins on 2024-05-18
33,Engineer,High,Wealth Preservation,$41569.74,"214 Matthew Village Suite 085
Lake Billy, WY 07487",$26387.63,$8293.84,$4974.39,$5524.37,$292.58,$6970.59,$50000.00,Small Business,Employed,60,14.61%,rejected,Travel transaction of $4411.28 at Lopez Inc
54,Engineer,Low,Income Generation,$94816.12,"443 Ross Orchard Apt. 257
North Nicholasshire, OH 17133",$22464.95,$8233.20,$1854.52,$3933.68,$1006.24,$4336.55,$46653.74,Auto Purchase,Employed,36,13.54%,rejected,Purchase at Vasquez Group for $472.36 on 2024-04-26
61,Lawyer,Low,Income Generation,$105725.40,"Unit 6155 Box 9617
DPO AP 38811",$98700.49,$19388.12,$14376.82,$17553.54,$816.82,$14341.17,$46645.26,Medical Expenses,Unemployed,60,10.25%,approved,$1034.82 spent at Hall LLC on 2024-01-19
52,Teacher,High,Wealth Preservation,$65363.11,"1707 James Squares
Ortizbury, WA 02594",$66748.00,$11866.75,$7933.40,$15071.29,$513.81,$6828.56,$24192.11,Debt Consolidation,Employed,48,6.97%,approved,Fraudulent activity detected at Gardner Group for $3587.78
35,Artist,Medium,Speculation,$61028.36,"2303 Tammy Key
East Katherinetown, SD 96852",$100000.00,$49930.22,$16523.52,$11123.85,$1760.13,$16140.21,$50000.00,Small Business,Unemployed,36,13.84%,rejected,"$4546.31 spent at Villarreal, Ramirez and Martinez on 2024-04-22"
76,Engineer,Low,Income Generation,$58416.34,"058 Lara Extensions Apt. 133
Stokesburgh, ID 57392",$83583.56,$32901.06,$5511.48,$10539.58,$262.44,$8894.37,$49076.93,Auto Purchase,Employed,48,10.34%,approved,Suspicious purchase of $2836.62 at Green-Young
23,Artist,Medium,Income Generation,$52274.32,"058 Carpenter Valleys Apt. 448
New Cody, TX 19052",$11608.15,$3045.05,$964.82,$1966.01,$123.71,$1032.90,$6563.47,Small Business,Unemployed,36,9.88%,pending,Large amount of $2966.61 spent at Meadows-Gonzalez
25,Engineer,High,Income Generation,$55950.04,"PSC 9176, Box 2591
APO AP 38910",$11833.76,$5248.19,$2585.08,$2641.64,$314.86,$4323.90,$50000.00,Auto Purchase,Retired,48,10.29%,approved,Travel transaction of $1721.17 at Moore-Edwards
39,Doctor,Medium,Income Generation,$87821.74,"Unit 3071 Box 4985
DPO AP 84516",$67630.00,$20647.86,$11891.72,$15956.57,$1028.41,$11053.93,$50000.00,Auto Purchase,Self-Employed,36,10.12%,approved,$1772.65 debited for Robertson LLC purchase
75,Doctor,High,Income Generation,$35773.87,"084 Donald Place
North Robert, RI 35927",$24691.91,$10732.40,$6915.67,$1700.82,$358.71,$7710.49,$31403.12,Medical Expenses,Employed,36,8.22%,approved,Entertainment transaction of $3214.13 at Moore Group
24,Lawyer,High,Income Generation,$90361.52,"135 Emily View
Lake Clayton, MD 74823",$100000.00,$10880.79,$9412.50,$24837.22,$5241.31,$33631.08,$9139.05,Medical Expenses,Unemployed,36,9.25%,pending,Purchase at Leblanc-Cummings for $4974.00 on 2024-03-02
46,Teacher,Medium,Wealth Preservation,$20434.51,"345 Christina Mall
Dunlaphaven, VA 72190",$10510.07,$1483.60,$2621.97,$1649.91,$260.77,$732.98,$16619.45,Home Improvement,Retired,60,6.43%,approved,Transaction at Patterson and Sons for $4167.52
44,Engineer,Low,Speculation,$70512.68,"USNS Huffman
FPO AP 98619",$66624.46,$14844.35,$6323.80,$6435.72,$1255.67,$9276.55,$50000.00,Home Improvement,Retired,12,12.45%,rejected,"Clothing transaction of $1644.02 at Doyle, Figueroa and Santana"
57,Lawyer,High,Speculation,$96808.20,"598 Phillip Oval Apt. 157
South Kenneth, NE 59711",$82087.11,$8709.25,$16621.02,$6143.46,$1459.40,$25737.53,$50000.00,Debt Consolidation,Employed,60,13.81%,pending,Electronics transaction of $2926.10 at Lee LLC
56,Artist,High,Speculation,$43065.36,"03994 Thompson Station
Brucemouth, MP 88665",$51765.09,$10171.92,$3873.26,$10462.24,$1649.06,$7114.17,$50000.00,Debt Consolidation,Self-Employed,48,13.70%,pending,"Purchase at Harris, Liu and Ramirez for $1489.63 on 2024-07-02"
18,Engineer,High,Growth,$60261.69,"PSC 2680, Box 7180
APO AA 01875",$82211.09,$13957.36,$13283.04,$8426.46,$1367.34,$27072.56,$14933.41,Debt Consolidation,Retired,48,7.22%,approved,"$1262.93 spent at Brown, Peters and Watkins on 2024-01-05"
21,Retiree,High,Speculation,$120473.06,"0542 Laura Light Suite 820
North Harry, MA 37325",$100000.00,$31446.97,$13840.59,$16313.05,$1365.60,$38084.36,$50000.00,Debt Consolidation,Unemployed,24,14.44%,rejected,$2691.78 spent at Gill Inc on 2024-03-16
35,Retiree,Low,Speculation,$64277.76,"9541 Katherine Garden
Lawrenceton, OR 87317",$69926.31,$10677.33,$8042.39,$13371.81,$1104.60,$12210.28,$9781.66,Medical Expenses,Unemployed,24,6.87%,approved,Suspicious purchase of $4670.85 at Farley-Brown
53,Lawyer,Medium,Wealth Preservation,$76368.40,"22735 Robinson Ways
East Patrick, WV 89172",$67644.60,$11700.34,$5511.18,$8129.82,$432.65,$5931.21,$50000.00,Medical Expenses,Unemployed,12,11.62%,rejected,"Purchase at Meyer, Frye and Wilson for $3532.64 on 2024-06-24"
40,Lawyer,High,Wealth Preservation,$52594.19,"3829 Jenkins Manors
Smithmouth, IA 52480",$20865.13,$9950.95,$5840.73,$4779.72,$514.64,$6110.17,$50000.00,Home Improvement,Employed,36,12.55%,pending,"Payment of $1324.38 at Grimes, Spence and Smith"
77,Engineer,Low,Speculation,$71595.81,"0279 Scott Mission Suite 619
Danielside, PR 53073",$100000.00,$28233.37,$21030.58,$10242.48,$2791.49,$11140.21,$33782.37,Home Improvement,Retired,60,9.25%,approved,$2956.92 debited for Johnson-Harris purchase
42,Artist,Medium,Wealth Preservation,$125095.78,"96481 Sandra Haven Apt. 565
Burketon, NJ 92154",$100000.00,$28596.23,$19959.01,$15099.15,$1060.48,$15774.16,$46485.35,Auto Purchase,Employed,12,8.82%,approved,Transaction at Coleman-Lozano for $1917.60
22,Doctor,Medium,Growth,$108748.71,"24179 Wise Stravenue
Burchchester, PA 73396",$100000.00,$25407.05,$22638.97,$12669.90,$2699.52,$8319.42,$50000.00,Home Improvement,Unemployed,60,13.07%,pending,Payment of $3095.16 at Hawkins-Barnett
27,Engineer,High,Income Generation,$73779.75,"656 Pierce Manor
New Kellyberg, NY 86251",$100000.00,$36962.73,$18056.61,$8340.92,$1618.05,$22631.86,$41468.10,Home Improvement,Employed,24,10.31%,approved,$3137.66 debited for Rivers Inc purchase
46,Artist,Medium,Income Generation,$90165.50,"USCGC Norton
FPO AA 82944",$97999.23,$34787.64,$5732.50,$21554.74,$3833.39,$10036.55,$31541.86,Medical Expenses,Self-Employed,60,8.57%,approved,"Clothing transaction of $2696.61 at Chavez, Fitzpatrick and Ramos"
30,Student,High,Wealth Preservation,$60185.10,"45293 Brandon Valley Suite 545
Alexisbury, OK 04374",$100000.00,$47948.68,$14547.54,$16048.35,$732.48,$13655.86,$50000.00,Home Improvement,Retired,48,13.13%,pending,Payment of $1822.02 at Sanders-Chang
51,Teacher,Low,Growth,$115007.65,"5112 Tony Ridges Suite 161
Deckerville, WI 27580",$100000.00,$31953.57,$21349.55,$5507.57,$63.68,$8820.33,$50000.00,Auto Purchase,Self-Employed,48,13.52%,rejected,"Entertainment transaction of $4144.94 at Murphy, Miller and Vargas"
66,Artist,Medium,Income Generation,$86763.41,"0077 Hayden Hills
East Peter, RI 07348",$64975.68,$20428.70,$15124.49,$9010.54,$1264.18,$4092.38,$50000.00,Debt Consolidation,Self-Employed,60,11.98%,rejected,Payment of $3067.31 at Berry-Lee
34,Teacher,High,Wealth Preservation,$46200.42,"792 Emily Ports Apt. 749
East Christineborough, OK 95611",$45391.38,$22107.19,$8001.57,$6262.97,$290.68,$12068.64,$36169.29,Debt Consolidation,Unemployed,24,10.79%,pending,$4541.03 debited for Foster-Reese purchase
34,Teacher,Medium,Growth,$39853.03,"PSC 0934, Box 5443
APO AE 12805",$8672.13,$2391.48,$983.65,$469.01,$9.42,$463.16,$46466.06,Auto Purchase,Employed,36,11.11%,approved,Purchase at Smith-Navarro for $2164.80 on 2024-08-12
52,Lawyer,High,Speculation,$71208.36,"574 Snyder Villages
Chadtown, MD 64464",$73224.42,$17648.52,$11776.05,$9898.07,$2175.31,$25664.27,$50000.00,Debt Consolidation,Unemployed,60,10.38%,approved,"Entertainment transaction of $2971.07 at Drake, Frazier and Wright"
53,Lawyer,Low,Wealth Preservation,$85754.02,"596 Stone Union
Elizabethmouth, AK 96890",$95283.37,$10238.43,$10998.68,$15750.75,$1104.95,$6456.29,$50000.00,Debt Consolidation,Retired,12,10.73%,approved,Large amount of $892.38 spent at Jones-Collins
81,Engineer,Medium,Wealth Preservation,$104536.67,"18285 Aguilar Manor
Port David, OR 11598",$100000.00,$32628.05,$28132.96,$6215.15,$83.66,$13841.18,$50000.00,Home Improvement,Retired,12,14.04%,pending,Suspicious purchase of $4095.68 at Cabrera Group
75,Doctor,Low,Wealth Preservation,$68126.88,"940 Taylor Heights Apt. 084
Bentonview, NY 77324",$51632.41,$20815.59,$3744.91,$9260.96,$2450.39,$4798.14,$50000.00,Auto Purchase,Employed,12,12.15%,pending,"Travel transaction of $1534.76 at Adams, Davis and Robbins"
37,Artist,High,Income Generation,$65195.37,"750 Brown Dam
Latoyaburgh, SC 80449",$59999.37,$24803.73,$11815.28,$6693.71,$1992.51,$17494.49,$23804.75,Debt Consolidation,Self-Employed,12,10.87%,pending,Transaction at Ramirez Inc for $3374.25
32,Lawyer,Low,Growth,$96274.65,"82411 Mark Lane
Gomezshire, IN 51724",$100000.00,$11602.33,$7782.70,$12770.01,$2892.60,$7326.52,$37752.43,Small Business,Retired,12,12.71%,pending,"Transaction at Brown, Kline and Wright for $2498.18"
76,Teacher,Medium,Wealth Preservation,$96378.58,"Unit 0550 Box 4721
DPO AP 45114",$55577.82,$25007.73,$4906.61,$4628.82,$640.20,$5893.27,$50000.00,Small Business,Retired,36,13.61%,rejected,$2301.32 spent at Richardson-Schmidt on 2024-06-08
84,Lawyer,Low,Income Generation,$41666.49,"7641 Sanders Mountain
East Paula, ME 27472",$82595.26,$29282.26,$24626.23,$7342.58,$1221.70,$4345.62,$41466.81,Medical Expenses,Retired,48,10.16%,approved,$875.28 debited for Carter and Sons purchase
